epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1650.07,1.62687,1.22831,1.64136,0.48445,0.42303,0.43744,0.20102,2.09974,1.49178,2.08768,0.00556742,0.00556742,0.00556742
58,1678.1,1.65553,1.25903,1.64644,0.49809,0.4147,0.43183,0.19353,2.08342,1.51137,2.08012,0.00543837,0.00543837,0.00543837
59,1706.6,1.64031,1.2407,1.6494,0.49714,0.45728,0.44396,0.19795,2.13424,1.48039,2.12571,0.00530906,0.00530906,0.00530906
60,1734.98,1.61088,1.21973,1.63272,0.50558,0.42703,0.43178,0.19887,2.10364,1.52325,2.0952,0.00517958,0.00517958,0.00517958
61,1763.43,1.61302,1.22869,1.63533,0.4984,0.40522,0.42882,0.19921,2.08733,1.49492,2.07852,0.00505,0.00505,0.00505
62,1791.65,1.60733,1.22393,1.63366,0.56165,0.42423,0.43842,0.19892,2.0411,1.44311,2.02089,0.00492042,0.00492042,0.00492042
63,1819.71,1.60898,1.21308,1.63074,0.48865,0.40991,0.4414,0.20586,2.04796,1.40824,2.01512,0.00479094,0.00479094,0.00479094
64,1847.75,1.61757,1.21192,1.63275,0.45469,0.45031,0.44817,0.20154,2.02328,1.43366,2.01339,0.00466163,0.00466163,0.00466163
65,1876.38,1.58941,1.19286,1.62145,0.59361,0.41898,0.44321,0.2033,2.06741,1.45966,2.07413,0.00453258,0.00453258,0.00453258
66,1905.07,1.58783,1.17055,1.60832,0.58891,0.4312,0.44205,0.19549,2.12182,1.5281,2.12155,0.0044039,0.0044039,0.0044039
67,1933.59,1.55789,1.15367,1.58438,0.52587,0.43797,0.44973,0.20189,2.05487,1.41773,2.04351,0.00427565,0.00427565,0.00427565
68,1962.27,1.57887,1.15213,1.60738,0.56603,0.40069,0.45077,0.20537,2.0603,1.42734,2.03667,0.00414793,0.00414793,0.00414793
69,1990.8,1.56413,1.16515,1.59642,0.48266,0.47292,0.45243,0.20679,2.04507,1.4493,2.06173,0.00402084,0.00402084,0.00402084
70,2019.57,1.55508,1.15688,1.59983,0.51697,0.42156,0.44882,0.20915,2.02766,1.41363,2.04012,0.00389445,0.00389445,0.00389445
71,2047.65,1.56159,1.15437,1.59522,0.50757,0.43364,0.45274,0.20801,2.06502,1.47,2.07793,0.00376885,0.00376885,0.00376885
72,2074.84,1.57286,1.15936,1.60478,0.47818,0.43661,0.44773,0.20284,2.04643,1.40459,2.05483,0.00364412,0.00364412,0.00364412
73,2103.25,1.56684,1.1373,1.5934,0.4778,0.43357,0.44698,0.20878,2.04996,1.40975,2.05695,0.00352037,0.00352037,0.00352037
74,2131.27,1.5498,1.13346,1.5854,0.50402,0.44364,0.45456,0.2121,2.04594,1.39654,2.06226,0.00339766,0.00339766,0.00339766
75,2159.88,1.51671,1.08319,1.55521,0.51732,0.44426,0.45795,0.21279,2.06288,1.43447,2.09162,0.00327608,0.00327608,0.00327608
76,2188.76,1.53834,1.11615,1.56546,0.50287,0.45885,0.4628,0.21473,2.00324,1.37741,1.99632,0.00315572,0.00315572,0.00315572
77,2217.44,1.53288,1.11316,1.5798,0.50565,0.46751,0.46419,0.21443,2.02287,1.37336,2.04296,0.00303665,0.00303665,0.00303665
78,2246.41,1.4885,1.06503,1.54416,0.51349,0.43796,0.46347,0.21351,2.047,1.41051,2.05779,0.00291897,0.00291897,0.00291897
79,2275.64,1.51354,1.09214,1.55039,0.53017,0.43852,0.46427,0.21047,2.05942,1.39589,2.08313,0.00280275,0.00280275,0.00280275
80,2303.64,1.5096,1.08439,1.55533,0.50256,0.45142,0.45321,0.21158,2.0266,1.42749,2.03097,0.00268806,0.00268806,0.00268806
81,2331.02,1.4834,1.06776,1.54607,0.6046,0.45328,0.45991,0.21378,2.04554,1.42008,2.05521,0.002575,0.002575,0.002575
82,2359.18,1.47886,1.05561,1.52758,0.45981,0.45731,0.46541,0.2166,2.04305,1.38628,2.06555,0.00246363,0.00246363,0.00246363
83,2387.39,1.48988,1.03575,1.53289,0.48825,0.46867,0.4681,0.21754,2.0272,1.38892,2.03205,0.00235404,0.00235404,0.00235404
84,2415.61,1.46631,1.04604,1.53914,0.50901,0.46756,0.46209,0.21461,1.99693,1.37088,2.01826,0.00224629,0.00224629,0.00224629
85,2444.23,1.47091,1.04345,1.52369,0.45829,0.46846,0.46108,0.21655,2.04058,1.3847,2.05778,0.00214046,0.00214046,0.00214046
86,2472.54,1.48051,1.0653,1.54228,0.62773,0.42705,0.45887,0.21034,1.99902,1.35525,2.00868,0.00203663,0.00203663,0.00203663
87,2500.78,1.47451,1.03093,1.52353,0.51933,0.49382,0.47488,0.21991,2.04458,1.36934,2.05495,0.00193486,0.00193486,0.00193486
88,2529.91,1.48533,1.03633,1.52946,0.51907,0.48616,0.47452,0.22245,2.02163,1.36488,2.03918,0.00183523,0.00183523,0.00183523
89,2559.37,1.46748,1.03443,1.52331,0.4915,0.47257,0.46455,0.21886,2.01058,1.39172,2.02701,0.0017378,0.0017378,0.0017378
90,2587.57,1.44527,1.00922,1.50521,0.50725,0.48404,0.47133,0.22144,1.99535,1.35335,2.0239,0.00164264,0.00164264,0.00164264
91,2615.89,1.44611,1.00829,1.50524,0.50557,0.47856,0.46857,0.21559,2.00499,1.35895,2.01863,0.00154982,0.00154982,0.00154982
92,2644.63,1.44615,1.01483,1.50916,0.55668,0.46867,0.47478,0.22001,2.02237,1.38919,2.06118,0.0014594,0.0014594,0.0014594
93,2673.13,1.44597,1.009,1.51249,0.50479,0.4819,0.46115,0.21998,2.00954,1.36504,2.04421,0.00137143,0.00137143,0.00137143
94,2701.52,1.40933,0.97688,1.4882,0.48129,0.46643,0.46078,0.2149,2.00135,1.35517,2.02272,0.00128599,0.00128599,0.00128599
95,2729.96,1.41776,0.9721,1.49279,0.5232,0.4579,0.47059,0.22176,1.99496,1.37291,2.03208,0.00120313,0.00120313,0.00120313
96,2758.41,1.42272,0.99323,1.49756,0.50271,0.46912,0.46862,0.22017,1.99879,1.36352,2.03567,0.0011229,0.0011229,0.0011229
97,2786.17,1.41555,0.9765,1.49146,0.51276,0.463,0.46138,0.2184,1.9928,1.38269,2.03555,0.00104537,0.00104537,0.00104537
98,2813.81,1.4142,0.97988,1.49249,0.5011,0.47706,0.46555,0.21856,2.00165,1.37868,2.04172,0.000970575,0.000970575,0.000970575
99,2842.48,1.41276,0.97907,1.47015,0.5126,0.45144,0.45844,0.21574,2.02082,1.41248,2.07258,0.000898581,0.000898581,0.000898581
100,2870.35,1.41164,0.97003,1.48807,0.49497,0.4552,0.46525,0.21857,1.99509,1.39099,2.03822,0.000829431,0.000829431,0.000829431
